epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,297.933,0.97137,0.5255,0.93578,0.89702,0.7711,0.83048,0.55333,1.04527,0.57567,0.9948,0.000665057,0.000665057,0.000665057
56,303.335,0.95002,0.52063,0.92867,0.83706,0.73927,0.8194,0.5441,1.07304,0.58669,1.00246,0.000650909,0.000650909,0.000650909
57,308.657,0.95742,0.52004,0.93082,0.82697,0.76824,0.81701,0.53176,1.05816,0.58892,0.99937,0.000636762,0.000636762,0.000636762
58,314.015,0.93618,0.50811,0.92241,0.80993,0.7592,0.80997,0.53926,1.04525,0.57865,0.99241,0.000622615,0.000622615,0.000622615
59,319.298,0.94212,0.51637,0.92491,0.81938,0.7351,0.79821,0.53485,1.04199,0.58848,0.98821,0.000608468,0.000608468,0.000608468
60,324.687,0.94662,0.50884,0.93188,0.86178,0.76358,0.8398,0.55872,1.06169,0.5592,1.00337,0.000594321,0.000594321,0.000594321
61,329.989,0.93512,0.50085,0.93246,0.90067,0.72364,0.82289,0.55798,1.00744,0.5454,0.97864,0.000580174,0.000580174,0.000580174
62,335.298,0.92386,0.4966,0.92095,0.85156,0.74318,0.81048,0.54365,1.01887,0.55819,0.98856,0.000566027,0.000566027,0.000566027
63,340.543,0.9325,0.4979,0.91728,0.83164,0.76741,0.81959,0.55215,1.03108,0.56978,0.98828,0.00055188,0.00055188,0.00055188
64,345.9,0.94808,0.49481,0.92432,0.8926,0.75573,0.84269,0.55874,1.05574,0.55805,0.99562,0.000537733,0.000537733,0.000537733
65,351.265,0.92769,0.48653,0.91209,0.86497,0.75056,0.8154,0.54635,1.05168,0.58099,1.00042,0.000523586,0.000523586,0.000523586
66,356.602,0.94226,0.49611,0.9294,0.86408,0.78162,0.84962,0.56473,1.04438,0.55767,0.99938,0.000509438,0.000509438,0.000509438
67,361.735,0.93212,0.49511,0.9182,0.91056,0.77753,0.84543,0.56214,1.01541,0.55662,0.9825,0.000495291,0.000495291,0.000495291
68,366.938,0.8944,0.47431,0.91148,0.93594,0.74573,0.83223,0.55505,1.04815,0.57108,1.00335,0.000481144,0.000481144,0.000481144
