epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.4956,1.72796,3.0255,1.44289,0.66889,0.12514,0.25059,0.15627,1.24507,2.99123,1.06645,0.000469982,0.000469982,0.000469982
2,15.9397,1.40476,1.75417,1.13553,0.84225,0.39037,0.46634,0.28421,1.22488,1.74328,1.07644,0.000936947,0.000936947,0.000936947
3,21.5053,1.31065,1.48985,1.09515,0.68168,0.54339,0.57721,0.35481,1.198,1.3664,1.07639,0.00139448,0.00139448,0.00139448
4,26.882,1.28724,1.35867,1.09531,0.87103,0.512,0.61569,0.3767,1.16773,1.20575,1.08374,0.00138656,0.00138656,0.00138656
5,32.1645,1.23655,1.22577,1.05494,0.90583,0.49393,0.58394,0.35064,1.19673,1.12583,1.07242,0.00137241,0.00137241,0.00137241
6,37.4802,1.24458,1.17493,1.06025,0.92717,0.51021,0.67076,0.40955,1.18451,1.01225,1.07407,0.00135826,0.00135826,0.00135826
7,42.9448,1.21066,1.05063,1.05548,0.94403,0.50522,0.62972,0.39511,1.20013,1.00739,1.07708,0.00134412,0.00134412,0.00134412
8,48.4134,1.21853,1.01893,1.05188,0.62067,0.58334,0.64423,0.41125,1.14236,0.94792,1.04634,0.00132997,0.00132997,0.00132997
9,53.8528,1.18036,0.95098,1.04651,0.91593,0.5716,0.66916,0.42815,1.14394,0.90784,1.04658,0.00131582,0.00131582,0.00131582
10,59.147,1.17038,0.91032,1.02891,0.89519,0.57606,0.67236,0.43532,1.1001,0.86241,1.03298,0.00130168,0.00130168,0.00130168
11,64.6875,1.16264,0.87224,1.02855,0.89479,0.63234,0.71269,0.45143,1.10343,0.80652,1.03138,0.00128753,0.00128753,0.00128753
12,70.0413,1.14986,0.84008,1.01745,0.7016,0.69578,0.71677,0.45412,1.10977,0.83717,1.0279,0.00127338,0.00127338,0.00127338
13,75.4265,1.16188,0.82192,1.02371,0.87572,0.60759,0.67724,0.43404,1.14644,0.8114,1.05041,0.00125923,0.00125923,0.00125923
14,80.7368,1.13844,0.80185,1.0161,0.88926,0.65227,0.70642,0.45678,1.1014,0.77406,1.04104,0.00124509,0.00124509,0.00124509
15,86.0592,1.13361,0.77096,1.01054,0.89532,0.62634,0.7205,0.4457,1.13123,0.74234,1.04954,0.00123094,0.00123094,0.00123094
16,91.4585,1.15654,0.79833,1.02091,0.80062,0.68595,0.74412,0.44941,1.19954,0.76879,1.08429,0.00121679,0.00121679,0.00121679
17,96.8165,1.14062,0.78692,1.00055,0.89429,0.64132,0.74721,0.46239,1.15653,0.78063,1.06006,0.00120265,0.00120265,0.00120265
18,102.209,1.12922,0.7809,0.99979,0.84618,0.68442,0.7613,0.49769,1.08835,0.72474,1.02089,0.0011885,0.0011885,0.0011885
19,107.538,1.1136,0.74776,0.99958,0.84437,0.63282,0.75177,0.4824,1.11716,0.72836,1.02931,0.00117435,0.00117435,0.00117435
20,112.765,1.10039,0.73079,1.00277,0.82672,0.67812,0.73818,0.47894,1.13304,0.73772,1.05417,0.00116021,0.00116021,0.00116021
21,118.101,1.10388,0.71096,0.99111,0.80159,0.70523,0.76621,0.49559,1.05736,0.70082,1.01424,0.00114606,0.00114606,0.00114606
22,123.427,1.1152,0.71416,1.00074,0.77739,0.67653,0.76219,0.48907,1.04795,0.69431,1.00174,0.00113191,0.00113191,0.00113191
23,128.672,1.08603,0.69174,1.00017,0.86578,0.64285,0.70611,0.45704,1.10351,0.7125,1.03096,0.00111776,0.00111776,0.00111776
24,133.844,1.09223,0.69335,0.99135,0.75414,0.69023,0.73397,0.48438,1.08515,0.70147,1.02259,0.00110362,0.00110362,0.00110362
25,139.098,1.08698,0.67986,0.98937,0.88809,0.63021,0.75114,0.49116,1.08622,0.67523,1.01694,0.00108947,0.00108947,0.00108947
26,144.32,1.09476,0.67795,0.98663,0.69294,0.73191,0.74306,0.49553,1.08176,0.68767,1.02266,0.00107532,0.00107532,0.00107532
27,149.635,1.06751,0.65393,0.97453,0.93811,0.68263,0.79875,0.53807,1.05258,0.66261,1.01166,0.00106118,0.00106118,0.00106118
28,155.082,1.07015,0.65517,0.97788,0.71104,0.71156,0.77216,0.50811,1.09726,0.67397,1.02775,0.00104703,0.00104703,0.00104703
29,160.383,1.05947,0.63846,0.96598,0.88028,0.65399,0.77781,0.51172,1.0472,0.63389,0.99689,0.00103288,0.00103288,0.00103288
30,165.674,1.06773,0.63384,0.97428,0.84773,0.70035,0.78729,0.52131,1.0783,0.63069,1.01862,0.00101873,0.00101873,0.00101873
31,170.989,1.05281,0.63365,0.97377,0.87014,0.68492,0.77356,0.51015,1.06578,0.65068,1.0139,0.00100459,0.00100459,0.00100459
32,176.314,1.04919,0.64067,0.97676,0.75485,0.75248,0.79486,0.52198,1.0463,0.63395,0.99726,0.00099044,0.00099044,0.00099044
33,181.536,1.05218,0.62422,0.96927,0.77453,0.72204,0.7731,0.50878,1.07362,0.63342,1.01589,0.000976293,0.000976293,0.000976293
34,186.865,1.05109,0.61264,0.97148,0.84693,0.76535,0.84355,0.55813,1.03788,0.60827,0.99577,0.000962146,0.000962146,0.000962146
35,192.242,1.03678,0.609,0.96485,0.83418,0.79541,0.82411,0.55251,1.03153,0.61391,0.99251,0.000947999,0.000947999,0.000947999
36,197.481,1.02714,0.59864,0.96694,0.86951,0.74611,0.81197,0.53057,1.104,0.65102,1.0241,0.000933851,0.000933851,0.000933851
37,202.787,1.02374,0.59185,0.96151,0.82335,0.75897,0.82657,0.54237,1.06066,0.60411,1.01367,0.000919704,0.000919704,0.000919704
38,207.955,1.02168,0.5892,0.9565,0.87273,0.70837,0.80267,0.52281,1.08353,0.60634,1.00877,0.000905557,0.000905557,0.000905557
39,213.18,1.02661,0.57959,0.96044,0.72258,0.73347,0.75725,0.52266,1.04242,0.64046,0.99492,0.00089141,0.00089141,0.00089141
40,218.497,1.02391,0.58251,0.94912,0.82762,0.73117,0.78073,0.53981,1.04154,0.61373,0.99919,0.000877263,0.000877263,0.000877263
41,223.83,1.00416,0.57332,0.9526,0.86685,0.72576,0.80276,0.5471,1.01616,0.60938,0.9852,0.000863116,0.000863116,0.000863116
42,229.153,1.00854,0.5788,0.94754,0.76897,0.76156,0.79376,0.52726,1.06198,0.62462,1.01931,0.000848969,0.000848969,0.000848969
43,234.284,1.02439,0.56992,0.95177,0.7546,0.73796,0.78895,0.51984,1.04194,0.61547,1.00845,0.000834822,0.000834822,0.000834822
44,239.554,1.01015,0.56037,0.95563,0.80721,0.77317,0.82765,0.55301,1.03366,0.58885,1.00325,0.000820675,0.000820675,0.000820675
45,244.787,1.00127,0.57485,0.94827,0.83339,0.73562,0.79527,0.53192,1.03574,0.60624,0.99829,0.000806528,0.000806528,0.000806528
46,250.091,0.98909,0.55317,0.94606,0.8051,0.75923,0.81813,0.54217,1.04225,0.5814,0.99197,0.00079238,0.00079238,0.00079238
47,255.514,0.98691,0.55601,0.94156,0.75185,0.82162,0.82187,0.56217,1.0572,0.59817,1.00411,0.000778233,0.000778233,0.000778233
48,260.965,1.00221,0.54624,0.94645,0.88076,0.77712,0.85248,0.57054,1.0527,0.59527,1.00112,0.000764086,0.000764086,0.000764086
49,266.281,1.00873,0.55798,0.94299,0.85823,0.79244,0.82763,0.54861,1.06857,0.58969,1.01389,0.000749939,0.000749939,0.000749939
50,271.6,0.97959,0.5417,0.9396,0.89404,0.70248,0.82319,0.55416,1.02089,0.58447,0.99173,0.000735792,0.000735792,0.000735792
51,276.851,0.98164,0.5368,0.94338,0.84958,0.72958,0.83817,0.56147,1.04338,0.57859,0.9937,0.000721645,0.000721645,0.000721645
52,281.875,0.9759,0.52918,0.93909,0.89349,0.73079,0.8167,0.55526,1.0357,0.59874,0.99244,0.000707498,0.000707498,0.000707498
53,287.272,0.97427,0.53812,0.93615,0.76889,0.80149,0.84325,0.5649,1.03389,0.57212,0.99205,0.000693351,0.000693351,0.000693351
54,292.649,0.96208,0.5235,0.92677,0.86732,0.74902,0.82041,0.54942,1.03258,0.58084,0.98917,0.000679204,0.000679204,0.000679204
